No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source,SMILES_clean,PC1_acid_base_score,AcidBaseClass
60.0,,CC1=NC2=C(C(=NN2C(=C1)C3=CC=C(C=C3)OC)C)C4=CC(=C(C=C4)OC)OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1ccc(-c2cc(C)nc3c(-c4ccc(OC)c(OC)c4)c(C)nn23)cc1,-0.011113632873701346,Neutral
61.0,,CN1C2=CN(C(=C2C(=O)N(C1=O)C)C3=CC=C(C=C3)Cl)CCC4=CC=CC=C4,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,762.26,-3.117896869,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Cn1c(=O)c2c(-c3ccc(Cl)cc3)n(CCc3ccccc3)cc2n(C)c1=O,-0.01747636636785143,Neutral
62.0,,CCOC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC3=C(C=C2C#N)N4CCC3CC4,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,236.48,-3.626205583,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCOC(=O)c1ccc(NC(=O)CSc2nc3c(cc2C#N)N2CCC3CC2)cc1,0.007245082900173841,Neutral
63.0,,C1CN2CCC1C3=C2C=C4C(=C(SC4=N3)C(=O)NC5=CC=C(C=C5)Cl)N,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,139.82,-3.854430702,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Nc1c(C(=O)Nc2ccc(Cl)cc2)sc2nc3c(cc12)N1CCC3CC1,-0.005251452546160612,Neutral
64.0,,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(C3=CC4=C(C5CCN4CC5)N=C3S2)N,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,720.42,-3.142414239,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCOC(=O)c1ccc(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)cc1,0.01154501332095571,Neutral
65.0,,CC1=CC(=C(C=C1Cl)OC)NC2=C3CCCC3=NC4=CC=CC=C42,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,COc1cc(Cl)c(C)cc1Nc1c2c(nc3ccccc13)CCC2,-0.02826715914571794,Neutral
66.0,,CCC1=CC(=CC=C1)NC(=O)C(CC2=CC=CC=C2)NS(=O)(=O)C3=CC=CS3,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCc1cccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccs2)c1,-0.006271721626132369,Neutral
67.0,,CC1=C(C=C(C=C1)NC(=O)C(CC2=CC=CC=C2)NS(=O)(=O)C3=CC=CS3)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,570.44,-3.243790029,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,Cc1ccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccs2)cc1Cl,-0.006665109032075602,Neutral
68.0,,CCN1C=C(C2=CC(=C(C=C2C1=O)OC)OC)C(=O)N3CCN(CC3)C4=CC(=CC=C4)Cl,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,809.63,-3.091713408,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCn1cc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)c2cc(OC)c(OC)cc2c1=O,-0.005129427035917805,Neutral
69.0,,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)CCCCN3C(=O)C4=C(C=CS4)NC3=O,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,718.99,-3.14327715,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,O=C(CCCCn1c(=O)[nH]c2ccsc2c1=O)N1CCN(c2cccc(Cl)c2)CC1,-0.00037746650836179425,Neutral
70.0,,CCCCCN1C2=CC=CC=C2N=C1CCCNC(=O)C3=CC=CC=C3OC,20.0,5.0,0.5,200.0,200.0,25.0,0.5,,491.28,-3.308670916,https://pubchem.ncbi.nlm.nih.gov/bioassay/1645871,CCCCCn1c(CCCNC(=O)c2ccccc2OC)nc2ccccc21,-0.01066618124887837,Neutral
